Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients,stress_relief,mood_boost,anxiety_reduction,sleep_improvement,cognitive_function
chicken stew,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,4 tbsp,92,34,3.0,2.0,1.0,0.0,0.3862,Chicken-62 gms; POTATO-87.5 gms; carrot-20 gms; Peas-37.5 gms,0.29992504069926595,0.0036603241719520793,0.20180213903743316,0.0026986140474512567,0.30134473380494897
moong dal puree,10,"North,East,West",Breakfast,Veg,no-allergies,4 small katori,705,84,2.0,8.0,5.0,1.0,0.603,Moong Dal-150 gms; carrot-60 gms; POTATO-175 gms; TOMATO-90 gms; Onion-125 gms; Garlic-15 gms; Ginger-15 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Olive oil-15 gms,0.29135259128895574,0.005121094667606295,0.19656498811645873,0.004910617805966644,0.2972024345089869
Rice Dosa,14,South,Breakfast,Veg,no-allergies,1 medium,24,144,5.0,30.0,0.0,1.0,0.01165,Urad Dal Flour-15 gms; Rice Flour-37.5 gms; Common salt-4 gms,0.2957615967381164,0.012657387831806437,0.20719065656565658,0.01277719050974865,0.2854562742843137
Quinoa Cutlet,6,Continental,Appetizer,Veg,no-allergies,1 medium,279,184,3.0,27.0,9.0,1.0,0.20375,Quinoa-75 gms; POTATO-87.5; carrot-60 gms; Beans-15 gms; Coriander leaves-7 gms; Ginger-0.25 gms; Cumin seeds-4 gms; Red chilli Powder-7 gms; Common salt-7 gms; Olive oil-3.75 gms; Garlic powder-4 gms,0.28000708343684394,0.009894174301151045,0.19177354426619134,0.010547451256753583,0.28849002843043176
Broccoli with mix bell pepper Vegetable,0,Continental,Appetizer,Veg,no-allergies,1 medium katori,732,929,34.0,102.0,37.0,67.0,1.1739,Broccoli-200 gms; Capsicum-150 gms; Babycorn-100 gms; Tofu-250 gms; Black pepper-10 tbsp; Onion;Garlic-2 gms; Olive oil-15 gms; Common salt-15 gms,0.3076494046623186,0.14991390650692976,0.29899858882947117,0.1441394174301151,0.26375372613984815
Ragi Flour Cheela,1,South,"Lunch,Dinner",Veg,no-allergies,1 medium,169,370,5.0,50.0,15.0,4.0,0.2712,RAGI-60 gms; Onion-30 gms; TOMATO-30 gms; Capsicum-30 gms; Cumin seeds-2 gms; Common salt-2 gms; Olive oil-15 gms,0.26431668927754876,0.020700023490721167,0.19034016636957815,0.022111815832746066,0.27042185152004106
Rice Flour Cheela,1,"South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium,211,259,2.0,25.0,15.0,1.0,0.6626,Rice Flour-150 gms; Cumin seeds-10 gms; CORIANDER-10 gms; Turmeric powder-10 gms; Red chilli Powder-15 gms; Common salt-1 gms; Olive oil-15 gms,0.2659618562910756,0.008415668311017149,0.18185910576351755,0.009303382663847781,0.28318567039557957
Vegetable Juice(Cucumber+Ghiya+1 Carrot),10,"North,South,East,West",Beverages,Veg,no-allergies,1 medium bowl,95,67,3.0,13.0,0.0,5.0,0.0345,CUCUMBER-20 gms; Bottle gourd-15 gms; Carrot-60 gms,0.3043962355263697,0.012736551562132957,0.21195328282828285,0.012485435752877616,0.2944578750931434
"Veg Shredded,Green Peas Mushroom Vegetable",0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium katori,1113,360,13.0,46.0,11.0,12.0,1.5138,CABBAGE-250 gms; carrot-250 gms; Peas-250 gms; MUSHROOM-250 gms; Onion-1 gms; Garlic powder-15 gms; Cumin seeds-15 gms; CORIANDER-15 gms; Turmeric powder-7 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-30 gms,0.2894531414293672,0.039763213530655386,0.21883868092691622,0.03800751703077285,0.28072624720811046
Lemon Rice Soup With Red Rice,0,Continental,"Lunch,Dinner",Veg,no-allergies,4 small bowl,1647,154,2.0,19.0,10.0,2.0,0.3401,Rice-1200gms; Onion-125 gms; Garlic-15 gms; carrot-125 gms; Olive oil-30 gms; Celery-62 gms; Lemon-90 gms,0.2813086338911108,0.00864176650223162,0.19094815805109924,0.009141883955837446,0.2930663170989181
Baingan Vegetable,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 medium bowl,346,278,9.0,39.0,6.0,16.0,0.4495,TOMATO-150 gms; Onion-125 gms; Cloves-1 gms; Cumin seeds-1 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; CORIANDER-24 gms; Olive oil-15 gms,0.3014673550754666,0.03959854357528776,0.2287724301841949,0.03884519614752173,0.2795591902460017
Millets Cheela,1,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium,271,233,3.0,20.0,16.0,3.0,0.2116,Millets-150 gms; CARROT-30 gms; Onion-30 gms; Capsicum-30 gms; Cumin seeds-15 gms; Common salt-1 gms; Olive oil-15 gms,0.27069588025181657,0.011315362931642002,0.18495164884135473,0.011516443504815599,0.29074180506691294
Ragi Soup,0,South,Appetizer,Veg,no-allergies,2 medium bowl,543,230,4.0,34.0,8.0,4.0,0.4658,Onion-300 gms;Garlic-10 gms; carrot-60 gms; Celery-17 gms; Coriander seeds-15 gms; Cumin seeds-15 gms; Turmeric powder-4 gms; Olive oil-15 gms; Common salt-7 gms; Ragi flour-100 gms,0.282253608826655,0.016508339206013627,0.19954337492572788,0.01725017618040874,0.28128766922787923
Fish Salad 1,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,530,378,37.0,14.0,17.0,4.0,1.226,Fish-170 gms; Onion-60 gms; Tomato-90 gms; CUCUMBER-150 gms; Lemon-15 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Olive oil-15 gms; CORIANDER LEAVES-10 gms,0.30218156201836377,0.04863237021376557,0.22230808080808084,0.03608221752407799,0.3302318109054144
Rice Flour Wrap with Chicken and Veggies,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,4 medium,622,330,13.0,40.0,12.0,5.0,2.0184,Rice Flour-150 gms; Common salt-15 gms; Olive oil-15 gms; Chicken-150 gms; Onion-1 gms; Capsicum-201 gms; Ginger-15 gms; Garlic powder-15 gms; CORIANDER-15 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms,0.28230519693413914,0.02887820061075875,0.20521531491384434,0.0267349072116514,0.2871207176947786
Masoor Dal Sambar,13,South,"Breakfast,Lunch,Dinner",Veg,no-allergies,4 small bowl,890,157,5.0,14.0,9.0,5.0,0.78325,Masoor Dal-300 gms; carrot-87.5 gms; Beans-150 gms; Drumstick-62 gms; Olive oil-30 gms; Cumin seeds-15 gms; Fenugreek seeds-15 gms; Onion-125 gms; Turmeric powder-7 gms; Common salt-7 gms; Coriander leaves-7 gms; Tamarind-15 gms; Sambar Powder-15 gms; Brinjal-137 gms,0.2896293961065279,0.015112168193563542,0.20089980689245396,0.014198379140239605,0.296557886093032
Moong Dal Tikki,6,"North,East,West",Appetizer,Veg,no-allergies,6 number,945,118,4.0,15.0,5.0,2.0,0.769,Moong Dal-350 gms; POTATO-375 gms; Onion-125 gms; Chillies-30 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Olive oil-30 gms; Common salt-15 gms,0.2923231236697427,0.010048390885600188,0.200482917409388,0.00956283767911675,0.2952583982604599
Oatmeal,9,Continental,Breakfast,Veg,no-allergies,1 medium bowl,586,375,8.0,18.0,27.0,6.0,0.9425,Oats-150 gms; Almond Milk-200 gms; Apple-200 gms; Blueberries-10 gms; Walnut-11 gms; Cinnamon-15 gms,0.25691980901269124,0.020548978153629317,0.17943805704099824,0.018802677942212825,0.29270280875622023
Boiled Aloo Chat,11,"North,East,West",Snacks,Veg,no-allergies,1 medium bowl,255,176,2.0,29.0,5.0,1.0,0.261,POTATO-150 gms; Cumin seeds-15 gms; Red chilli Powder-15 gms; Chat Masala-15 gms; Common salt-15 gms; Lemon-15 gms; Coriander leaves-15 gms; Olive oil-15 gms,0.2838026385035155,0.009190862109466761,0.19656498811645873,0.010336974395113932,0.2821025289381065
Saunf Ajwain Water,10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,30,7,0.0,1.0,0.0,1.0,0.066,Saunf-15 gms; Ajwain-15 gms,0.3006408248484508,0.001582687338501292,0.20173611111111112,0.0016472868217054263,0.29885109414134603
Red Rice,3,Continental,"Lunch,Dinner",Veg,no-allergies,4 small katori,180,46,1.0,10.0,0.0,1.0,0.6075,Rice-150 gms; Common salt-15 gms; Coriander leaves-15 gms,0.29871302865778493,0.004417782475922011,0.2028270202020202,0.004700140944326992,0.29426822903274164
Saunf Elaichi Water,10,"North,South,East,West",Beverages,Veg,no-allergies,4 cup,45,13,0.0,2.0,0.0,1.0,0.1095,Saunf-15 gms; cardamom-15 gms; Jaggery-15 gms,0.30014843662331336,0.0017764857881136951,0.20173611111111112,0.001905684754521964,0.29786631769107125
Classic Avocado Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,2 medium katori,615,597,13.0,25.0,51.0,11.0,0.411,Avacado-300 gms; Tomato-90 gms; Onion-150 gms; Olive oil-30 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms,0.22467088169983843,0.034304557199906036,0.1582790404040404,0.03119227155273667,0.3006511068340203
Corn Avocado Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,2 medium katori,1281,748,16.0,41.0,59.0,18.0,0.3832,Babycorn-350 gms; Avacado-700 gms; Capsicum-37 gms; Onion-125 gms; Lemon-15 gms; Olive oil-15 gms; Common salt-15 gms; Black pepper-24 gms,0.21578070821807532,0.05040028188865398,0.16193983957219252,0.04723067888184168,0.2930868175056694
Spinach Vegetable,2,"North,South,East,West",Dry Curry,Veg,no-allergies,4 cup,785,71,2.0,14.0,0.0,2.0,0.574,SPINACH-250 gms; POTATO-300 gms;Onion-125 gms; Cloves-30 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms,0.29914941610355084,0.007672774254169604,0.20565404040404042,0.007849894291754757,0.2919831756414451
Spinach Vegetable 2,2,"North,South,East,West",Dry Curry,Veg,no-allergies,4 small katori,512,37,1.0,5.0,1.0,2.0,0.4215,Spinach-150 gms; Potato-150 gms;Onion-125 gms;Garlic-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Red chilli Powder-7 gms; Common salt-15 gms; Olive oil-30 gms,0.2995639475967983,0.004837679116748884,0.20309254307783722,0.0047970401691331925,0.29721598194344795
"Dhaniya Jeera, Saunf Water",10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,35,3,0.0,0.0,0.0,0.0,0.105,Coriander seeds-15 gms; Cumin seeds-15 gms;Fennel Seeds-5 gms,0.2997538058874313,0.0,0.2,0.0,0.29950761177486257
Shredded Chicken Breast Dry Gravy,8,Continental,Gravy,Non-veg,no-allergies,1 medium katori,450,632,90.0,26.0,15.0,3.0,1.324,Chicken-150 gms; Onion-160 gms; Garlic-30 gms; Chillies-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-15 gms,0.3497822771839225,0.10738724453840733,0.28133132798573973,0.0763395583744421,0.38196540107016236
"Arugula Salad(cheery tomato,carrot,cucumber and radish)",0,Continental,Appetizer,Veg,no-allergies,2 large bowl,995,112,2.0,8.0,8.0,3.0,1.3975,CUCUMBER-150 gms; Cherry Tomato-150 gms; carrot-150 gms; Radish-150 gms; Arugula Leaves-150 gms; Lemon-15 gms; Olive oil-165 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms,0.2881765115977916,0.007898872445384073,0.19562544563279857,0.0076883955837444215,0.29701857578025354
"Baby Spinach salad(cherry tomato,carrot,cucumber and radish)",0,Continental,Appetizer,Veg,no-allergies,2 large bowl,1155,116,2.0,9.0,8.0,4.0,1.4925,Cucumber-200 gms; Cherry Tomato-150 gms; carrot-150 gms; Radish-150 gms; Spinach-250 gms; Lemon-15 gms; Olive oil-165 gms; Cumin seeds-15 gms; Coriander Powder-30 gms; Turmeric powder-15 gms; Common salt-15 gms,0.2890635305588112,0.009481559783885367,0.19736155674390968,0.009335682405449849,0.296362058146737
"lettuce salad(cheery tomato,carrot,cucumber and radish)",0,Continental,Appetizer,Veg,no-allergies,2 large katori,877,102,2.0,7.0,8.0,3.0,1.3591,Cucumber-100 gms; Cherry Tomato-187 gms; carrot-60 gms; Radish-150 gms; Lettuce leaf-150 gms; Olive oil-165 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms,0.2889971586396873,0.007705073995771671,0.19562544563279857,0.007429997650927884,0.29865986986404486
Gobhi Gajar Matar Without Oil,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 small katori,770,577,24.0,53.0,29.0,37.0,0.6275,Cauliflower-250 gms; carrot-150 gms; Peas-150 gms; Onion-125 gms; Chillies-15 gms; Cumin seeds-15 gms; Ginger powder-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms,0.2961741038882049,0.08784202490016443,0.24777087046939988,0.08253852478271083,0.2915807538251324
Gobhi Gajar Matar With Oil,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 medium katori,785,486,22.0,53.0,18.0,34.0,0.69,Cauliflower-150 gms; carrot-150 gms; Peas-250 gms;Onion-125 gms; Chillies-15 gms; Red chilli Powder-15 gms; Cumin seeds-15 gms; Ginger powder-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms,0.3095830570318442,0.08149354005167958,0.2565571895424837,0.0769173126614987,0.2867036957630347
Grilled Basa Fish,8,Continental,Gravy,Non-veg,no-allergies,1 number,212,315,20.0,4.0,24.0,3.0,0.882,Turmeric powder-7 gms; Red chilli Powder-15 gms; Garam Masala-15 gms; Coriander Powder-5 gms; Common salt-15 gms; Lemon-15 gms; Olive oil-15 gms; Fish-125 gms,0.276779408732871,0.026760042283298095,0.1917323975044563,0.01974571294338736,0.3199569903712678
"Cucumber ,Onion,Tomato and Carrot Salad",0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 medium katori,500,40,0.0,8.0,0.0,2.0,0.264,Cucumber-200 gms; Onion-15 gms; Tomato-90 gms; carrot-150 gms; Coriander leaves-15 gms; Common salt-15 gms; Lemon-15 gms,0.29914796738797284,0.004328165374677003,0.20347222222222222,0.0048449612403100775,0.2934348236648346
"Vegetable smoothie (cucumber,carrot,beetroot and apple)",12,Continental,Beverages,Veg,no-allergies,2 glass,801,72,2.0,14.0,1.0,4.0,0.2668,Cucumber-200 gms; carrot-250 gms; Beetroot-136 gms; Apples-200 gms; Lemon-15 gms,0.30039496577844627,0.01045055203194738,0.20765567439096852,0.010627672069532535,0.2932896344683601
Baigan Bharta,2,"North,East,West,South",Dry Curry,Veg,no-allergies,4 small bowl,775,45,1.0,7.0,1.0,3.0,0.8525,Onion-125 gms; Chillies-15 gms; Cumin seeds-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Turmeric powder-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms; Common salt-15 gms; Tomato-250 gms; Eggplant-250 gms; Coriander leaves-15 gms,0.3001227077410595,0.0066141649048625795,0.20482865418894833,0.006702724923655157,0.29590294667641487
Brinjal Vegetable,2,"North,South",Dry Curry,Veg,no-allergies,1 medium katori,645,247,10.0,33.0,2.0,19.0,0.6565,Brinjal-150 gms;Onion-160 gms; Tomato-240 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-15 gms,0.3133416862172862,0.0436933286351891,0.24095402554961382,0.0421887479445619,0.2805830307827602
Fenugreek Vegetable,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium katori,585,229,10.0,28.0,8.0,17.0,0.645,Fenugreek leaves-250 gms;Onion-125 gms; Tomato-90 gms; Olive oil-15 gms; Cumin seeds-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Coriander Powder-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms,0.30577064827831935,0.03994655860934931,0.22865827391562685,0.03811898050270143,0.29236088954534933
Roasted Vegetable,0,"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,625,873,27.0,140.0,19.0,47.0,0.4332,Sweet potato-250 gms; Brussels sprouts-150 gms; carrot-150 gms; Olive oil-15 gms; Thyme-15 gms; Rosemary-15 gms; Garlic powder-15 gms; Common salt-15 gms,0.2988833228087585,0.12186410617805966,0.2831105912061795,0.12108985200845666,0.23374711204651288
Mixed Vegetable Bhaji,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 cup,1450,1254,56.0,142.0,60.0,32.0,1.1685,Potato-350 gms; carrot-250 gms; Beans-250 gms; Peas-250 gms;Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Red chilli Powder-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-15 gms,0.2410760065196635,0.1330547333803148,0.2284111705288176,0.12186422363166549,0.2842351978283941
Qunoia Flour Cheela,1,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium,641,703,20.0,92.0,27.0,12.0,0.6876,Quinoa Flour-150 gms; Onion-125 gms; Tomato-90 gms; Capsicum-201 gms; Chillies-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-15 gms,0.2525669799779071,0.05631430584918956,0.20294563279857397,0.054984731031242656,0.2606865446260459
Steamed /Blanched Vegetable,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,1151,343,13.0,46.0,9.0,23.0,0.6553,Beetroot-136 gms; carrot-150 gms; Broccoli-150 gms; Cauliflower-250 gms; Spinach-150 gms; Onion-150 gms; Tomato-90 gms; Chillies-15 gms; Lemon-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Coriander leaves-15 gms,0.30642217930908655,0.055040991308433165,0.24087707961972668,0.053285294808550626,0.2805752706799675
Rasam,8,South,Gravy,Veg,no-allergies,1 medium bowl,181,47,0.0,7.0,1.0,1.0,0.34995,Tomato-90 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Fenugreek seeds-15 gms; Chillies-15 gms; Garlic-1 gms; Common salt-15 gms; Tamarind-15 gms,0.29625529550439755,0.002745478036175711,0.200265522875817,0.0031976744186046516,0.2937565060414748
Kala Chana Sprouts,11,"North,West,South",Snacks,Veg,no-allergies,1 medium bowl,180,73,4.0,10.0,1.0,6.0,0.0825,Kala chana-150 gms; Lemon-15 gms; Common salt-15 gms,0.3052889111752668,0.014634954193093727,0.21330971479500893,0.013826403570589618,0.2967618686963446
Sauteed Vegetables,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 cup,280,195,1.0,8.0,15.0,3.0,0.35475,Olive oil-15 gms;Garlic-15 gms; Onion-150 gms; Beans-15 gms; carrot-15 gms; Capsicum-5 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms,0.27237182564203616,0.0068079633544749826,0.18424041889483067,0.006961122856471694,0.2918717707136623
Pasta Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 cup,1476,581,9.0,93.0,17.0,7.0,1.4766,Pasta-750 gms; Cherry Tomato-150 gms; CUCUMBER-150 gms; Onion-150 gms; Capsicum-201 gms;Parsley-15 gms; Lemon-30 gms; Olive oil-15 gms; Common salt-15 gms,0.2535318967648513,0.03756365985435753,0.19697095959595962,0.040298684519614755,0.24600445009535915
Brown Rice Pulao,5,"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,1022,548,13.0,82.0,16.0,10.0,1.717,Rice-150 gms; Onion-150 gms; carrot-150 gms; Peas-150 gms; Cumin seeds-15 gms; CLOVES-150 gms; Cinnamon-15 gms; CARDAMOM-2 gms; Ginger powder-15 gms; Garlic powder-15 gms; Chillies-15 gms; Common salt-15 gms; Olive oil-15 gms; Coriander leaves-15 gms; Corn Kernels-150 gms,0.26607971560382004,0.04396217993892412,0.20801351752822342,0.044532064834390414,0.2572228596093038
Onion Masala Salad,0,"North,South,East,West",Appetizer,Veg,no-allergies,1 medium bowl,455,90,5.0,15.0,1.0,6.0,0.208,Onion-160 gms; Red chilli Powder-15 gms; Lemon-15 gms; Common salt-15 gms; Coriander leaves-250 gms,0.30516653847677133,0.01669485553206483,0.21440062388591802,0.015845665961945032,0.29578985057208107
Dhaniya Chutney,7,"North,South,East,West,Continental","Appetizer,Snacks",Veg,no-allergies,1 tsp,202,54,5.0,4.0,2.0,7.0,0.1837,Coriander leaves-150 gms; Chillies-15 gms;Garlic-15 gms; Cumin seeds-15 gms; Common salt-7 gms; ,0.308233204428903,0.01595196147521729,0.214666146761735,0.01439217758985201,0.30316909750902404
Salted Roasted Makhana,11,"North,East,West",Snacks,Veg,no-allergies,1 medium katori,280,322,8.0,62.0,5.0,0.0,0.404,Makhana-250 gms; Olive oil-15 gms; Common salt-15 gms,0.2782422775504245,0.02074277660324172,0.20137433155080214,0.021838853652807143,0.26904872622384374
Chicken Do Pyaza,2,"North,East,West,South",Dry Curry,Non-veg,no-allergies,1 cup,500,1013,159.0,28.0,24.0,7.0,1.411,Chicken-150 gms; Onion-150 gms; Tomato-90 gms; Chillies-15 gms; Olive oil-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms,0.401268447228755,0.18860312426591494,0.35031320558526435,0.1325937279774489,0.4581219360499046
Chicken kebab,6,"North,East,West",Appetizer,Non-veg,no-allergies,1 medium bowl,305,1721,107.0,28.0,109.0,7.0,1.3825,Chicken-150 gms; Yoghurt-15 gms; Ginger powder-15 gms; Garlic powder-15 gms; Lemon-15 gms; Red chilli Powder-15 gms; TURMERIC-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Common salt-15 gms; Olive oil-15 gms,0.1832348184807232,0.13187585153864223,0.16858593285799167,0.0947755461592671,0.3723728603720228
Green Chutney,7,"North,South,East,West,Continental","Appetizer,Snacks",Veg,no-allergies,1 medium katori,515,86,7.0,10.0,1.0,9.0,0.33,Coriander leaves-150 gms;Mint leaves-150 gms; Chillies-15 gms; Ginger powder-15 gms;Onion-125 gms; Cumin Powder-15 gms; Chat Masala-15 gms; Lemon-15 gms; Common salt-15 gms; ,0.31168608517231755,0.022074348132487667,0.22179077540106953,0.020174888419074468,0.30008273184196127
Kali Masoor Chat,11,"North,East,West",Snacks,Veg,no-allergies,1 small katori,640,229,13.0,41.0,1.0,14.0,0.4095,Dal-150 gms;Onion-125 gms; Tomato-90 gms;Cucumber-200 gms; Chillies-15 gms; Lemon-15 gms; Chat Masala-15 gms; Common salt-15 gms; Coriander leaves-15 gms,0.3136635849984619,0.04157199906037115,0.23701678550207964,0.03949330514446794,0.2875213173528359
Chana Salad,0,"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,890,414,25.0,63.0,8.0,35.0,0.601,Chickpeas-150 gms;Cucumber-200 gms; Tomato-90 gms;Onion-125 gms; Chillies-15 gms; Coriander leaves-250 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms; Cumin seeds-15 gms,0.33155458709415847,0.08809314070941979,0.27627191027926323,0.08307199906037116,0.2892696762679367
Kala Chana Chat,11,"North,East,West",Snacks,Veg,no-allergies,1 medium katori,515,363,18.0,54.0,4.0,25.0,0.46125,Chickpeas-150 gms;Onion-125 gms; Tomato-120 gms; Chillies-15 gms; Coriander leaves-15 gms; Tamarind-15 gms;Mint leaves-15 gms; Chat Masala-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Lemon-15 gms,0.31908978302684005,0.06482370213765562,0.25715678847296497,0.06176661968522434,0.27903065042682335
Spinach Chana Dal Cutlet,6,"North,East,West",Appetizer,Veg,no-allergies,1 medium bowl,420,573,22.0,69.0,24.0,22.0,0.4715,Spinach-150 gms;Onion-125 gms; Chillies-15 gms; Ginger powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Red chilli Powder-15 gms; Common salt-15 gms;Bread-50 gms; Olive oil-15 gms,0.28124244737519494,0.06792764857881137,0.22690032679738562,0.06438501291989665,0.2812479666458147
Vegetable soup with Quinoa,0,Continental,Appetizer,Veg,no-allergies,1 medium katori,535,219,6.0,32.0,6.0,9.0,0.61825,Quinoa-150 gms;Onion-125 gms;Garlic-15 gms; carrot-150 gms; Beans-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms,0.29398404636002484,0.025247004933051445,0.21334692513368986,0.025132370213765565,0.28378827988582517
Low-Fat Bajra Cheela,1,"North,West","Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium,850,553,19.0,91.0,13.0,20.0,0.6075,Bajra flour-350 gms; Spinach-150 gms; Carrot-150 gms;Onion-125 gms; Coriander leaves-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Common salt-15 gms; Olive oil-15 gms,0.28876735702642536,0.06614070941977919,0.23633184789067144,0.0651101714822645,0.26289953877061667
Low-Fat Grilled Chicken Breast,8,Continental,Gravy,Non-veg,no-allergies,1 medium katori,482,1122,156.0,4.0,48.0,3.0,1.3707,Chicken-172 gms; VINEGAR-250 gms; Olive oil-15 gms; Oregano-15 gms; Common salt-15 gms; Black pepper-15 gms,0.35717351330750513,0.17512367864693448,0.3048019162210339,0.11865480385247827,0.4700714027290923
Roasted Makhana Bhel Without Peanuts,11,"North,East,West",Snacks,Veg,no-allergies,1 medium katori,820,329,8.0,60.0,3.0,9.0,0.777,Makhana-300 gms;Onion-125 gms; Tomato-90 gms; Cucumber-200 gms; Chillies-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Cumin seeds-15 gms; Chat Masala-15 gms; Lemon-15 gms; Common salt-15 gms,0.2908112069740387,0.03285517970401691,0.21994050802139037,0.033822057787174065,0.26495864389460155
Sprouts Cheela,1,"North,West,East","Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium,520,521,25.0,70.0,16.0,17.0,0.3585,Moong-250 gms;Onion-120 gms; Tomato-90 gms; Turmeric powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Olive oil-15 gms,0.29207513433411003,0.0644497298567066,0.23325720439691028,0.059880784590086916,0.2834725354537222
"Bell pepper, onion, and tomato Vegetable",0,Continental,"Lunch,Dinner",Veg,no-allergies,1 cup,485,142,3.0,17.0,5.0,7.0,0.6835,Capsicum-150 gms; Onion-150 gms; Tomato-90 gms; Olive oil-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms,0.29515723238535474,0.016289523138360348,0.20807256387403447,0.01629680526192154,0.2895011106411789
